date,open,close,high,low,volume,amount
20150225 09:30:00,14.04,13.98,14.04,13.98,1485200,20810716
20150225 09:31:00,13.98,13.93,13.99,13.93,447600,6247932
20150225 09:32:00,13.92,13.92,13.94,13.92,501100,6977955
20150225 09:33:00,13.93,13.92,13.93,13.91,326000,4536862
20150225 09:34:00,13.93,13.93,13.93,13.92,386300,5379351
20150225 09:35:00,13.93,13.95,13.95,13.93,297400,4146012
20150225 09:36:00,13.94,13.93,13.94,13.92,307100,4276970
20150225 09:37:00,13.93,13.92,13.93,13.91,247200,3442431
20150225 09:38:00,13.89,13.79,13.9,13.79,1655900,22924622
20150225 09:39:00,13.8,13.8,13.8,13.79,1302500,17974186
20150225 09:40:00,13.79,13.8,13.81,13.79,1062100,14656298
20150225 09:41:00,13.8,13.88,13.89,13.8,338000,4675624
20150225 09:42:00,13.89,13.86,13.9,13.84,114300,1585737
20150225 09:43:00,13.86,13.86,13.87,13.85,135400,1876210
20150225 09:44:00,13.88,13.87,13.88,13.87,220300,3056990
20150225 09:45:00,13.87,13.84,13.88,13.84,321100,4448876
20150225 09:46:00,13.85,13.84,13.85,13.83,231500,3203828
20150225 09:47:00,13.83,13.86,13.86,13.83,162000,2241585
20150225 09:48:00,13.86,13.86,13.87,13.85,182500,2528380
20150225 09:49:00,13.86,13.87,13.87,13.85,279200,3871025
20150225 09:50:00,13.87,13.86,13.87,13.86,221100,3065756
20150225 09:51:00,13.86,13.87,13.88,13.86,167800,2327998
20150225 09:52:00,13.87,13.87,13.88,13.87,144800,2008569
20150225 09:53:00,13.87,13.87,13.88,13.87,161300,2237990
20150225 09:54:00,13.87,13.86,13.88,13.86,187500,2601484
20150225 09:55:00,13.87,13.86,13.88,13.86,245400,3403493
20150225 09:56:00,13.87,13.86,13.87,13.86,572700,7938916
20150225 09:57:00,13.86,13.86,13.86,13.85,542400,7515423
20150225 09:58:00,13.87,13.87,13.88,13.86,90100,1249721
20150225 09:59:00,13.88,13.86,13.88,13.85,245600,3404996
20150225 10:00:00,13.85,13.86,13.86,13.85,117200,1623702
20150225 10:01:00,13.86,13.85,13.86,13.85,133000,1842738
20150225 10:02:00,13.85,13.86,13.86,13.84,352900,4886761
20150225 10:03:00,13.86,13.85,13.86,13.84,141000,1953310
20150225 10:04:00,13.84,13.83,13.85,13.83,304400,4211571
20150225 10:05:00,13.83,13.82,13.83,13.82,181100,2503696
20150225 10:06:00,13.83,13.83,13.84,13.82,143300,1981372
20150225 10:07:00,13.84,13.84,13.85,13.83,120600,1669353
20150225 10:08:00,13.85,13.82,13.85,13.82,431800,5972580
20150225 10:09:00,13.82,13.82,13.84,13.82,360200,4980660
